kyr_oblast,rus_oblast,oblast,oblast_code,kyr_items,rus_items,items,label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,170.5,165.2,162.4,112.2,120,167.3,204.7,199.8,211,214.7,237.6,226.5,222.1,222.3,193.4,185.6,220.3,234.9,300.6,239.3,199.9,236.1,254.5,259.7
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,48.8,71.9,97.8,58.8,85.5,119.2,157.7,139.5,130.2,132.7,142.3,125.6,130,106,88.3,73.4,79.6,97.3,136.7,89.7,62,30.4,61.1,59.4
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,40.5,32.3,22.2,9.3,6.1,4.9,3,2.3,2.5,0.9,1.5,1,1,1.9,1.1,1,1.3,1.5,3.5,3,2.7,9.5,8.8,8
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,79.1,58.5,39.7,41.7,25.8,38.9,38.4,52.6,70.9,73.6,87.5,89.2,82.6,105.6,96.7,102.4,130,127.2,148.7,137.3,125.9,183.5,169.8,175.1
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,1.2,1.6,0.97,1.9,2.3,3.7,5.2,4.8,7,7,5.7,9.1,7.1,7.6,6.2,6.9,7.5,7.3,9.6,8.1,8.2,11.1,13.4,15
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,0.2,0.07,0.07,0.2,0.4,0.05,0.3,0.4,0.5,0.4,0.4,0.5,0.8,1.3,1.2,1.1,1.8,1.9,1.5,2,1.2,1,1.6,1.4,2.3
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,0.3,8.8,1.3,0.3,0.03,,,,,,,,,,,,,,,,,,
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,40.1,35.7,34.2,32.7,45.3,47.2,37.7,52.7,58.1,58.4,64.5,65.2,69.6,79,79.8,78.2,64.7,63.2,29.1,42.2,62.8,50.4,44.7,42.2
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,8.4,10,13.1,7.8,4.1,4.3,6.2,7.4,9.4,10.5,4.8,0.3,0.2,1.1,0.7,0.7,1.1,1.1,0.9,0.7,0.7,0.4,0.5,0.5
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,0.2,0.7,0.7,1.8,4.6,8.4,11.7,16,22,20.1,23.3,29.7,29.9,33.3,32.9,29.8,29.3,23.7,28.2,25.2,22,25.8,23.7,20
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Картошка,Картофель,Potatoes,potatoes,,19.3,19.7,23.5,18,16.8,20.6,35.6,47.1,56,62.2,76.5,85.5,77.1,88.9,80.9,92.6,103.7,96.6,98.7,104.2,102.5,111.8,115.5,120.8
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Жашылча ,Овощи,Vegetables,vegetables,,46.2,52.4,34.1,30.5,46.6,46.6,84.9,91.2,110.2,112.1,118.3,57.3,105.3,115.4,111.5,123.5,143.6,153.1,194.6,202.5,203.3,225.1,241.8,261.9
