kyr_oblast,rus_oblast,oblast,oblast_code,kyr_items,rus_items,items,label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ош облусу,Ошская область,Osh oblast,kg-os,Картошка,Картофель,Potatoes,potatoes,,34.6,31.6,35.3,29.6,34.7,44.6,55.4,66.4,82.6,89.3,96.7,101,108.2,111.9,112.5,122.3,136.3,139.1,150.1,150.5,161.4,170.1,179,180.2
Ош облусу,Ошская область,Osh oblast,kg-os,Жашылча ,Овощи,Vegetables,vegetables,,63.6,62.9,54,46.7,46.2,61.6,70.9,80.2,99,106.4,120.4,67.4,87.2,87.2,97.5,100.2,114,117.3,117.7,107.9,107.6,134.9,130.6,136.2
Ош облусу,Ошская область,Osh oblast,kg-os,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,11.4,8.4,7.5,6.6,6.1,11.2,9.5,11.3,13.8,14.7,15.5,7.7,13.8,18.3,21.3,23.8,28.8,26.9,31.1,28.9,30.3,38.4,34.5,37.8
Ош облусу,Ошская область,Osh oblast,kg-os,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,11.6,28.9,4.9,20.6,21.4,24.7,25.5,27.9,30.3,32.5,33.6,40.2,38.7,41.2,39.9,43.4,42.6,44.1,41.6,41.4,45.3,45.9,47.5,48.6
Ош облусу,Ошская область,Osh oblast,kg-os,Жүзүм ,Виноград,Grapes,grapes,,3.8,1.6,1,3.7,3.9,3.6,4,4.4,4.7,5,5.1,5.2,3.7,3.8,3.9,4.3,4.4,4.5,4.5,1.4,2.2,2.6,2.7,2.8
Ош облусу,Ошская область,Osh oblast,kg-os,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,83.7,34.2,34.3,32.6,31.5,33,33.3,34.2,35.3,37.3,38.9,40.6,42,36.8,37.2,37,37.3,37.7,38.1,38.8,39.5,40,40.6,40.8,42.9
Ош облусу,Ошская область,Osh oblast,kg-os,Чийки сүт ,Молоко,Milk,milk,203.9,206.7,177.9,174.9,161,167.8,173.1,179.9,189.3,207.4,212.7,222.3,228.6,234,237.2,241.6,244.5,247.8,251.7,255.4,263.8,269.7,275.2,280.2,286.8
Ош облусу,Ошская область,Osh oblast,kg-os,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,77.6,67.9,63.4,34.3,18.3,19.9,20.6,21.9,26,28.6,30.2,31.7,32.9,33.7,35.7,37.4,38.2,39.2,40.2,41,42.4,43.7,44.9,46.8,48.4
Ош облусу,Ошская область,Osh oblast,kg-os,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,5.9,5.6,4.4,3.8,2.7,2.6,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.3,2.2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2
Талас облусу,Таласская область,Talas oblast,kg-tl,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,124.3,148.1,152.3,106,92.7,129.1,149.7,138.2,133.8,134.5,156.3,138.1,149.7,150.3,151.7,141,132.7,140.1,150.7,136,133.3,128.6,141.6,130.8
Талас облусу,Таласская область,Talas oblast,kg-tl, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,63.1,99,124.8,79,75.6,106.4,121.3,101.2,93.2,86.2,86.1,70.4,68.3,66.2,59.6,39.3,17.6,33.4,44.9,35,25.6,20.8,26.5,21.8
Талас облусу,Таласская область,Talas oblast,kg-tl, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,54.8,44.2,25.9,23.7,10.3,6,2.1,3.1,2.2,1.4,1.6,1.2,1.8,2.8,3.1,2,1.9,2.3,1.8,1.9,2.4,2.6,3.7,2.5
Талас облусу,Таласская область,Talas oblast,kg-tl, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,5.8,4,1.5,3.1,5.4,14.5,19.7,24.7,27.5,30.2,44.2,31.8,48.6,49.3,47.5,47.5,46.5,40.1,40.3,31.1,34.5,30.1,31.5,25.7
Талас облусу,Таласская область,Talas oblast,kg-tl,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,0.01,0.1,0.2,0.02,0.1,0.3,2.2,6.6,9.2,10.9,16.6,24.4,34.5,30.9,31.9,41.3,,,,,,,,,
Талас облусу,Таласская область,Talas oblast,kg-tl, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,,,,,,,,,,,,,0.002,,,,52.2,66.7,64.3,63.7,68,70.8,75.1,79.8,80.8
Талас облусу,Таласская область,Talas oblast,kg-tl, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,1.5,41.3,50.4,13,12.9,41.1,26.2,62.6,79.5,63,49.2,91.9,104.3,119,69.4,13.8,9.6,,8.6,16.3,12.7,9.9,7.6,
Талас облусу,Таласская область,Talas oblast,kg-tl, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,,,,,,,,,,,,,,,,,,,,,,
Талас облусу,Таласская область,Talas oblast,kg-tl, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,3.3,3.5,2.9,1.3,0.2,0.3,1.3,1.8,1.2,0.9,0.4,,,,,,,,,,,,,
Талас облусу,Таласская область,Talas oblast,kg-tl, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,0.2,1.8,0.4,0.9,0.7,1.5,2.4,2.9,3.3,2.7,2.2,1.6,2.5,4.8,4,2.7,2.6,2.6,2.1,1.5,1.6,1.5,1.6,1
Талас облусу,Таласская область,Talas oblast,kg-tl,Картошка,Картофель,Potatoes,potatoes,,16.1,20.1,21.1,29,56.6,75,94.6,105.9,126.7,160.2,204.3,207.7,213.1,229.5,203.9,224.8,271.8,260.9,274.8,263.3,267.6,255,253.3,235.6
Талас облусу,Таласская область,Talas oblast,kg-tl,Жашылча ,Овощи,Vegetables,vegetables,,26,20.3,11.7,19.3,29,32.9,37.2,55.5,70.1,83.8,86,30.8,82.2,95.4,79.9,74.7,82.9,77.6,73,73.4,76.8,77.6,73.5,74.2
Талас облусу,Таласская область,Talas oblast,kg-tl,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,0.01,0.03,0.01,0.005,0.03,0.1,0.8,0.001,,,0.2,0.08,,0.3,0.1,0.02,,0.2,0.2,0.4,0.6,1,1,1.1
Талас облусу,Таласская область,Talas oblast,kg-tl,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,1.5,3.5,0.1,4.5,0.6,3.1,10,10.7,8.6,12.5,12.3,11.1,8.1,12.1,9.8,12.1,7.8,8.6,12.7,12.4,15,16.6,18.5,19.9
Талас облусу,Таласская область,Talas oblast,kg-tl,Жүзүм ,Виноград,Grapes,grapes,,,,,0.001,0,,,,,,,0.002,0.002,0.003,0.003,0.004,0.005,0.003,0.01,0.01,0.01,0.01,0.02,0.02
Талас облусу,Таласская область,Talas oblast,kg-tl,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,,15.6,18.8,13.4,13.6,13.7,12.9,13.2,13.1,13.1,13.4,13.6,14,13.7,11.9,12,12.1,12.2,12.3,12.5,12.7,12.6,12.6,11.7,13.2
Талас облусу,Таласская область,Talas oblast,kg-tl,Чийки сүт ,Молоко,Milk,milk,92.7,74.6,53.9,53.4,49,48.7,49.3,50.4,55.4,64.5,68.2,71,73.7,75.4,72.5,75,76.6,78.4,80.6,82.6,84.5,74.8,75.6,76.3,77
Талас облусу,Таласская область,Talas oblast,kg-tl,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,20.4,31,34.5,24.2,23.8,9.3,9.4,9.5,10.5,12.2,13.1,13.9,14.8,15.6,17.7,19,19.1,19.2,19.6,19.8,20.1,19.5,20.5,20.7,20.9
Талас облусу,Таласская область,Talas oblast,kg-tl,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,3.9,3.5,3.1,3,2.4,1.4,1.4,1.2,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4
Чуй облусу,Чуйская область,Chui oblast,kg-834,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,487.2,583.1,535.5,336.4,258,442.2,514.9,487.9,493.6,462.7,649,621.9,598.3,650.1,664.6,646.7,550,561.5,746.7,612.6,665.4,503.8,731.6,461.7
Чуй облусу,Чуйская область,Chui oblast,kg-834, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,155.6,210.6,250.2,154.8,155,303.4,396.5,328.4,293.5,278.6,384.1,398.4,332.6,333.8,355.4,340.4,252.6,257.5,393.6,317.9,366.8,228.5,378,210.3
Чуй облусу,Чуйская область,Chui oblast,kg-834, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,167.5,239.2,194.7,123.8,55.7,60.6,61,75.2,88.3,60.8,65.7,77.5,106.5,130.8,133.2,134.7,148.8,147.1,197.5,155.5,154.7,121,193.5,104.7
Чуй облусу,Чуйская область,Chui oblast,kg-834, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,158.7,126.5,86.1,54.1,44.7,75.8,55.1,81.7,108,119.9,193.2,140,155.1,180.8,173.2,168.1,145.2,153.1,151.5,135.4,139.1,151.9,157.1,143.5
Чуй облусу,Чуйская область,Chui oblast,kg-834,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,,,,0.01,0,0.003,0,0.07,0.2,0.5,0.3,0.08,0.02,0.02,0.02,0.03,0.01,0.02,,,,,,
Чуй облусу,Чуйская область,Chui oblast,kg-834, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,1.5,0.3,0.2,0,0,0.3,0.1,0.2,0.1,0.1,1,2.5,1.2,0.7,0.2,0.3,1.3,1.2,1.1,0.9,1,0.7,0.5,0.2,2.3
Чуй облусу,Чуйская область,Chui oblast,kg-834, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,11.2,90.5,150.8,96.6,93.4,148.6,179.2,366.6,455.8,386.8,235.7,424.6,707.9,523.4,219.4,212.2,145.8,,45.4,122.9,146.1,92.1,187.8,173.6
Чуй облусу,Чуйская область,Chui oblast,kg-834, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,,,,0.001,,0.05,,,,,,,,,,,,,,,,
Чуй облусу,Чуйская область,Chui oblast,kg-834, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,0.003,0.005,0.003,0.001,0.01,,0.03,0.3,0.04,0.2,0.4,0.1,,0.02,0.06,0.05,0.04,0.04,0.06,0.07,0.09,0.09, - ,
Чуй облусу,Чуйская область,Chui oblast,kg-834, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,4.1,2.6,3.7,7.4,7.7,11.3,10.2,8.6,8.6,7.8,6.5,7.3,14.2,23.7,16.5,14.5,11.1,10.3,10.7,8.8,9.8,9.2,10.1,7.3
Чуй облусу,Чуйская область,Chui oblast,kg-834,Картошка,Картофель,Potatoes,potatoes,,94.3,123.8,73.2,82.4,112.4,134.8,138,145,160.5,174.4,192.6,189.3,162.1,196,178.8,179.1,177.2,181.6,183.7,167.1,176.9,171.9,176.5,167.9
Чуй облусу,Чуйская область,Chui oblast,kg-834,Жашылча ,Овощи,Vegetables,vegetables,,211.6,220,126,124.8,138,156.5,195.8,222.6,317.8,315.2,345.9,246.5,329.2,364.7,366.3,377.3,358.9,381.9,349.8,331.6,337,329.3,332.4,342.8
Чуй облусу,Чуйская область,Chui oblast,kg-834,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,31.8,18.7,5.3,6.8,10.3,18.8,13.8,19.6,26.6,26.9,41.6,26.2,47.9,45.5,43.5,52.5,49.8,55.8,38.1,40.8,55.3,55.7,63.5,60.3
Чуй облусу,Чуйская область,Chui oblast,kg-834,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,21.8,36,2.2,15,7.9,19.3,21.6,9.3,9.9,32.8,25,8.5,8.1,21,5.2,20.7,18.7,1.6,16.1,15.5,14.9,15.1,16.1,16.8
Чуй облусу,Чуйская область,Chui oblast,kg-834,Жүзүм ,Виноград,Grapes,grapes,,7.8,10.7,0.8,1.8,2.2,1.5,5.5,1.7,1.9,5.9,5.9,0.5,0.5,2.5,0.7,2.3,2.5,0.1,1.2,1,1.1,1.2,1.2,1.3
Чуй облусу,Чуйская область,Chui oblast,kg-834,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,118.8,82.3,75.7,62.6,53.2,55.8,57.5,54.1,55.7,55.2,54.5,53.8,51.4,51.2,51.4,44.8,45.8,46.2,47,46.6,46.7,47.8,44.3,49.6,47.1
Чуй облусу,Чуйская область,Chui oblast,kg-834,Чийки сүт ,Молоко,Milk,milk,427.5,394.8,324.8,294.8,265.1,263.7,269.1,270.9,277.2,285.3,291.9,295.1,299.6,302,304,307,309.8,315.1,322.1,331.5,341.4,341.9,347.4,353.3,362
Чуй облусу,Чуйская область,Chui oblast,kg-834,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,439.4,399.9,353.8,223.8,110.6,89.8,92.7,90.3,93.4,100.6,104.5,117.3,126.1,130.6,140.3,146.9,167.9,179,167.4,163.3,161.2,177.8,201.2,208.9,238.2
Чуй облусу,Чуйская область,Chui oblast,kg-834,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,5.8,5.2,4.7,4.9,3.1,2.2,1.7,1.3,1.1,1.1,1.1,1,1,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.6
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,0.17,0.2,,,,0.09,0.09,0.06,0.07,0.02,0.03,0.1,0.07,0.07,0.06,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.008,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,0.03,0.05,,,,0.03,0.02,0.04,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.003,,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,0.14,0.2,,,,0.06,0.07,0.02,0.03,,,0.01,,,,0.003,,,,,,,0.008,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,,,,,,,,,,,0.001,0.06,0.05,0.05,0.04,0.04,0.1,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,,,,,,,,,,,,0.002,0.002,0.002,0.0008,0.0016,0,0.001,0.001,0.001,0.001,0.001,-,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,,,,,,,,,,,,,,,,,,,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,0.5,,,,,,0.009,0.04,,,,,,,,,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,,,,,,,,,,,,,,,,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,,,,,,,,,,,,,,,,,,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,,,,,,,,0.004,0.007,,,0.007,0.004,0.002,0.001,0.0002,0.0001,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Картошка,Картофель,Potatoes,potatoes,,0.8,0.8,0.8,9,15.4,15.5,15.6,14.9,13.5,13.6,13,12.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Жашылча ,Овощи,Vegetables,vegetables,,0.6,0.6,0.6,5.7,13.3,15,16.8,18,13.9,13.5,13.8,3.7,2.4,2.1,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.5,1.5
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,,,,,,,,,,,,0,,0.01,,,,,,,,,,
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,,0.3,,3.1,1.3,3.7,3.8,2.4,1.3,3.1,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.001,0.06,0.06,0.1,0.1,0.2,0.1
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Жүзүм ,Виноград,Grapes,grapes,,,,,0.03,0.02,0.05,0.06,0.03,0.005,0.008,0.004,0,0.01,0.02,0.1,0.06,0.3,0.001,0.3,0.08,0.03,0.03,0.05,0.06
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,,1.1,1.2,0.7,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.4,0.2,0.4,0.2
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Чийки сүт ,Молоко,Milk,milk,0.9,,0.7,0.4,0.4,0.4,1.2,1.2,1.4,1.4,1.9,2,2,2,1.9,1.9,1.7,1.6,1.5,1.1,1,0.9,0.5,0.9,0.9
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,0.1,0.3,0.3,0.2,0.2,0.9,2.4,2.6,2.5,3.6,3.7,4.3,4,4.1,4.1,3.9,3.1,2.9,2.7,1.6,1.5,1.6,1.4,1.1,0.6
Бишкек ш.,г. Бишкек,с.Bishkek,kg-gb,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,0.002,0.001,0.003,0.012,0.013,0.01,0.008,0.009,0.008,0.009,0.009,0.011,0.011,0.012,0.012,0.014,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.06,0.01
Ош ш.,г. Ош1,c.Osh,,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,,,,,,4.9,4.9,5.1,5.6,5.7,6.2,6.6,6.1,7.4,8.1,6,4.5,3.9,4.6,5.8,5.3,6,6.4,5.8
Ош ш.,г. Ош1,c.Osh,, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,,,,,,2.7,2.5,2.4,2.6,1.2,2.8,3.3,3.2,3.8,4.7,2.4,0.6,0.4,0.5,0.3,0.1,0.1,0.3,0.2
Ош ш.,г. Ош1,c.Osh,, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,,,,,,0.01,0.01,0.002,0.02,,,0.009,,0.004,,,0.03,,0.06,0.05,0.1,0.4,0.7,0.4
Ош ш.,г. Ош1,c.Osh,, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,,,,,,2.2,2.3,2.7,2.9,4.5,3.3,3.3,2.9,3.6,3.4,3.5,3.8,3.5,4,5.4,5,5.5,5.4,5.2
Ош ш.,г. Ош1,c.Osh,,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,,,,,,0.04,,,,,,,,,,,,,,,,,,
Ош ш.,г. Ош1,c.Osh,, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,,,,,,,,,,,,,,,,,,,,,,,,,
Ош ш.,г. Ош1,c.Osh,, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,,,,,0,0.01,,,,,0,,0,,,,,,,,,,
Ош ш.,г. Ош1,c.Osh,, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,,,,0.01,,0.007,,,0.004,,,,,,,,,,,,,
Ош ш.,г. Ош1,c.Osh,, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,,,,,,,0.06,0.2,0.3,0.3,0.1,0.03,0.01,,,,,,,,,,,
Ош ш.,г. Ош1,c.Osh,, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,,,,,,0.2,0.1,0.2,0.3,0.1,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.09,0.03,0.05,0.03,0.03,0.03
Ош ш.,г. Ош1,c.Osh,,Картошка,Картофель,Potatoes,potatoes,,,,,,,0.9,1.5,2,2.9,3.5,3.5,3.5,2.4,2.2,2.9,2.3,2.5,2.6,2.8,2.7,2.7,2,1.7,1.9
Ош ш.,г. Ош1,c.Osh,,Жашылча ,Овощи,Vegetables,vegetables,,,,,,,4.8,8.7,10.6,11.7,13.6,15.6,5.9,8.5,7.8,8.5,9.7,9.5,9.4,8.4,7.5,8.9,8.1,7.4,8
Ош ш.,г. Ош1,c.Osh,,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,,,,,,0.1,0.1,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.2,0.1,,,,,,,0.04,0.06
Ош ш.,г. Ош1,c.Osh,,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,,,,,,1,0.7,0.7,0.8,1.2,1.2,0.8,0.5,0.9,0.9,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
Ош ш.,г. Ош1,c.Osh,,Жүзүм ,Виноград,Grapes,grapes,,,,,,,0.5,0.8,0.7,0.3,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.07,0.06,0.06,0.06
Ош ш.,г. Ош1,c.Osh,,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,,,,,,,1,1,0.9,1,1,1,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8
Ош ш.,г. Ош1,c.Osh,,Чийки сүт ,Молоко,Milk,milk,,,,,,,5.1,5,5.5,5.9,6.3,6.3,6.4,6.5,6.5,6.5,6.6,6.6,6.6,6.3,6.4,6.5,6.6,6.7,6.8
Ош ш.,г. Ош1,c.Osh,,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,,,,,,,1.7,1.7,1.3,1.4,1.5,1.6,1.8,1.8,2.9,3,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3
Ош ш.,г. Ош1,c.Osh,,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,,,,,,,0.06,0.06,0.06,0.06,0.07,0.07,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03
